"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\X Gantry Assy\Assem14^EVA3 X Gantry Assy.SLDASM",".SLDASM","0.18","10/19/2025 8:03:18 PM"
"CAD\X Gantry Assy\Back plate 20.SLDPRT",".SLDPRT","0.056","1/31/2024 5:42:09 PM"
"CAD\X Gantry Assy\back_cartesian.SLDPRT",".SLDPRT","0.385","1/30/2024 12:22:26 PM"
"CAD\X Gantry Assy\Bearing gasket.SLDPRT",".SLDPRT","0.074","1/31/2024 5:42:17 PM"
"CAD\X Gantry Assy\Bearing.SLDPRT",".SLDPRT","0.089","1/31/2024 5:42:16 PM"
"CAD\X Gantry Assy\Bico 0.4mm.SLDPRT",".SLDPRT","0.069","1/31/2024 4:24:46 PM"
"CAD\X Gantry Assy\big gear.SLDPRT",".SLDPRT","0.35","1/30/2024 6:43:39 PM"
"CAD\X Gantry Assy\bl_touch_mount_volcano.SLDPRT",".SLDPRT","0.107","1/29/2024 4:14:25 PM"
"CAD\X Gantry Assy\BL-touch.SLDPRT",".SLDPRT","0.121","1/31/2024 5:42:04 PM"
"CAD\X Gantry Assy\Bloc 01.SLDPRT",".SLDPRT","0.131","1/30/2024 12:25:35 PM"
"CAD\X Gantry Assy\Bloc 02.SLDPRT",".SLDPRT","0.159","1/30/2024 10:41:47 PM"
"CAD\X Gantry Assy\Bloc 03.SLDPRT",".SLDPRT","0.168","1/30/2024 10:41:48 PM"
"CAD\X Gantry Assy\Bloco Aquecedor.SLDPRT",".SLDPRT","0.173","1/31/2024 4:24:50 PM"
"CAD\X Gantry Assy\BMG Extruder Assy.SLDASM",".SLDASM","1.681","10/19/2025 8:10:56 PM"
"CAD\X Gantry Assy\bmg_extruder(multibody part).SLDPRT",".SLDPRT","18.013","1/30/2024 6:43:50 PM"
"CAD\X Gantry Assy\Board.SLDPRT",".SLDPRT","0.08","1/31/2024 5:42:12 PM"
"CAD\X Gantry Assy\bottom_horns_volcano_fi.SLDPRT",".SLDPRT","1.535","6/26/2024 6:34:56 PM"
"CAD\X Gantry Assy\bottom.SLDPRT",".SLDPRT","0.326","1/29/2024 4:14:52 PM"
"CAD\X Gantry Assy\Brushless motor.SLDASM",".SLDASM","2.354","10/19/2025 9:54:42 PM"
"CAD\X Gantry Assy\Case20.SLDPRT",".SLDPRT","1.964","1/31/2024 5:42:08 PM"
"CAD\X Gantry Assy\chain guide sketch.SLDPRT",".SLDPRT","0.045","1/30/2024 7:42:19 PM"
"CAD\X Gantry Assy\Coil.SLDPRT",".SLDPRT","0.255","1/31/2024 5:42:13 PM"
"CAD\X Gantry Assy\Controller.SLDPRT",".SLDPRT","1.168","1/31/2024 5:42:13 PM"
"CAD\X Gantry Assy\Dissipador.SLDPRT",".SLDPRT","0.18","1/31/2024 4:24:47 PM"
"CAD\X Gantry Assy\Drag Chain 10x20.SLDASM",".SLDASM","0.188","10/19/2025 9:54:42 PM"
"CAD\X Gantry Assy\drive_bmg.SLDPRT",".SLDPRT","0.234","6/26/2024 8:19:08 PM"
"CAD\X Gantry Assy\dual_5015_inlet_fi.SLDPRT",".SLDPRT","0.229","1/29/2024 2:49:37 PM"
"CAD\X Gantry Assy\eBom-FreeParts.SLDPRT",".SLDPRT","0.911","1/31/2024 5:42:20 PM"
